profile|permission
ROLE_ADMIN|PERMISSION_01
ROLE_ADMIN|PERMISSION_02
ROLE_ADMIN|PERMISSION_03
ROLE_ADMIN|PERMISSION_04
ROLE_ADMIN|PERMISSION_05
ROLE_ADMIN|PERMISSION_06
ROLE_ADMIN|PERMISSION_07
ROLE_ADMIN|PERMISSION_08
ROLE_ADMIN|PERMISSION_09
ROLE_ADMIN|PERMISSION_10
ROLE_DELEGATE|PERMISSION_01
ROLE_DELEGATE|PERMISSION_02
ROLE_DELEGATE|PERMISSION_03
ROLE_DELEGATE|PERMISSION_04
ROLE_DELEGATE|PERMISSION_05
ROLE_DELEGATE|PERMISSION_06
ROLE_DELEGATE|PERMISSION_07
ROLE_DELEGATE|PERMISSION_08
ROLE_OFFICIAL|PERMISSION_01
ROLE_OFFICIAL|PERMISSION_02
ROLE_OFFICIAL|PERMISSION_03
ROLE_OFFICIAL|PERMISSION_04
ROLE_OFFICIAL|PERMISSION_05
ROLE_OFFICIAL|PERMISSION_06
ROLE_MANAGER|PERMISSION_01
ROLE_MANAGER|PERMISSION_02
ROLE_MANAGER|PERMISSION_03
ROLE_MANAGER|PERMISSION_04
ROLE_ATHLETE|PERMISSION_01
ROLE_ATHLETE|PERMISSION_02

